text,label
"TechNova is hiring a Junior Software Developer. Apply through our official careers page and complete the technical assessment.",0
"We are looking for a Python Developer with 1-2 years of experience. Interviews will be conducted online.",0
"ABC Technologies is hiring interns for its summer software engineering program. No payment is required to apply.",0
"Congratulations! You have been shortlisted for our Software Engineer position. Our recruiter will contact you through the company email for the next interview.",0
"Join our graduate trainee program. Applicants should submit their resume through the company's official careers portal.",0
"Your application for the Data Analyst role has been received. Please check your email for the interview schedule.",0
"We are hiring a Frontend Developer familiar with React and JavaScript. The position is based in Hyderabad.",0
"Applications are open for our QA Engineer internship. Candidates will undergo a coding assessment before the interview.",0
"Our company is recruiting a DevOps Engineer. Please submit your resume and portfolio through the official job portal.",0
"You have been selected for the next round of the internship hiring process. The interview details will be sent from our corporate email address.",0
"Congratulations! You have been selected for the job. Pay Rs. 2000 as a registration fee to confirm your position.",1
"URGENT! Limited seats available. Apply now and pay ₹500 for mandatory training before joining.",1
"Send your Aadhaar, PAN and OTP immediately to complete your job verification.",1
"Work from home and earn high pay! No experience required. Contact us on WhatsApp and pay Rs. 1500 to start.",1
"Your job is guaranteed if you deposit INR 3000 today. Immediate joining available.",1
"Congratulations! You are selected. Send your bank account number and IFSC to receive your salary.",1
"Pay Rs. 2500 training fee today only. Limited seats! Apply now.",1
"Earn guaranteed salary from home. Send your details and transfer 1000 INR to our UPI ID.",1
"URGENT JOB OFFER! No experience required. Pay registration fee of ₹999 and get immediate joining.",1
"Selected for the internship! Send your Aadhaar and bank account number and complete payment today.",1
